,ta,ea,tmean
2010-01-01 00:00:00,9.798999786376953,0.9533920241527973,13.080000877380371
2010-01-01 12:00:00,24.541000366210938,0.7541777715037175,13.080000877380371
2010-01-02 00:00:00,5.413000106811523,0.5549635188546375,18.393001556396484
2010-01-02 12:00:00,12.116999626159668,0.668360807251041,18.393001556396484
2010-01-03 00:00:00,2.936000108718872,0.7817580956474445,3.628000259399414
2010-01-03 12:00:00,10.020000457763672,0.7620346375004621,3.628000259399414
2010-01-04 00:00:00,-1.7879999876022339,0.7423111793534796,6.496000289916992
2010-01-04 12:00:00,22.968000411987305,0.7540912326424098,6.496000289916992
2010-01-05 00:00:00,4.164000034332275,0.7658712859313402,0.9660000205039978
2010-01-05 12:00:00,20.416000366210938,0.7377814604621893,0.9660000205039978
2010-01-06 00:00:00,4.421000003814697,0.7096916349930383,20.602001190185547
2010-01-06 12:00:00,29.382999420166016,0.6068792657892159,20.602001190185547
2010-01-07 00:00:00,13.109999656677246,0.5040668965853936,9.009000778198242
2010-01-07 12:00:00,8.508000373840332,0.6311855954978383,9.009000778198242
2010-01-08 00:00:00,3.5209999084472656,0.7583042944102829,5.178000450134277
2010-01-08 12:00:00,14.414999961853027,0.79678762721013,5.178000450134277
2010-01-09 00:00:00,8.42300033569336,0.835270960009977,10.225000381469727
2010-01-09 12:00:00,17.797000885009766,0.8679958123882119,10.225000381469727
2010-01-10 00:00:00,4.97599983215332,0.9007206647664469,1.1470000743865967
2010-01-10 12:00:00,18.42799949645996,0.9162990108764159,1.1470000743865967
2010-01-11 00:00:00,6.033999919891357,0.9318773569863849,4.5370001792907715
2010-01-11 12:00:00,7.074999809265137,0.9103831009882329,4.5370001792907715
2010-01-12 00:00:00,8.359000205993652,0.888888844990081,17.98000144958496
2010-01-12 12:00:00,10.373000144958496,1.052281487598254,17.98000144958496
2010-01-13 00:00:00,10.187999725341797,1.215674130206427,21.17500114440918
2010-01-13 12:00:00,34.263999938964844,1.052591141561789,21.17500114440918
2010-01-14 00:00:00,3.0929999351501465,0.889508152917151,2.495000123977661
2010-01-14 12:00:00,25.195999145507812,0.9304136882871572,2.495000123977661
2010-01-15 00:00:00,3.7720000743865967,0.9713192236571633,7.005000114440918
2010-01-15 12:00:00,20.113000869750977,1.1459536496366536,7.005000114440918
2010-01-16 00:00:00,7.173999786376953,1.3205880756161439,2.953000068664551
2010-01-16 12:00:00,30.604000091552734,1.1988743208889945,2.953000068664551
2010-01-17 00:00:00,2.941999912261963,1.0771605661618449,21.713001251220703
2010-01-17 12:00:00,10.9399995803833,1.302289149037994,21.713001251220703
2010-01-18 00:00:00,11.331999778747559,1.527417731914143,22.560001373291016
2010-01-18 12:00:00,19.4060001373291,1.3126414317312485,22.560001373291016
2010-01-19 00:00:00,9.12600040435791,1.0978651315483539,18.347000122070312
2010-01-19 12:00:00,11.984999656677246,1.0606253156882057,18.347000122070312
2010-01-20 00:00:00,6.535999774932861,1.0233854998280574,22.69300079345703
2010-01-20 12:00:00,4.803999900817871,0.8609940898579376,22.69300079345703
2010-01-21 00:00:00,1.031999945640564,0.6986026798878178,7.867000579833984
2010-01-21 12:00:00,7.070000171661377,0.6757650274565692,7.867000579833984
2010-01-22 00:00:00,5.459000110626221,0.6529273750253205,17.163000106811523
2010-01-22 12:00:00,31.670000076293945,0.7080442697827961,17.163000106811523
2010-01-23 00:00:00,11.699000358581543,0.7631611645402717,18.17500114440918
2010-01-23 12:00:00,31.302000045776367,0.7675123050880374,18.17500114440918
2010-01-24 00:00:00,7.335999965667725,0.771863445635803,7.2210001945495605
2010-01-24 12:00:00,33.465999603271484,0.825754192680207,7.2210001945495605
2010-01-25 00:00:00,12.27299976348877,0.879644939724611,7.761000156402588
2010-01-25 12:00:00,24.045000076293945,0.8461669030677101,7.761000156402588
2010-01-26 00:00:00,4.704999923706055,0.8126888664108092,24.81800079345703
2010-01-26 12:00:00,12.246999740600586,0.9741994686263366,24.81800079345703
2010-01-27 00:00:00,7.284999847412109,1.135710070841864,6.363000392913818
2010-01-27 12:00:00,8.026000022888184,1.0073708952801723,6.363000392913818
2010-01-28 00:00:00,1.9279999732971191,0.8790317197184807,21.981000900268555
2010-01-28 12:00:00,18.940000534057617,0.8867539637739894,21.981000900268555
2010-01-29 00:00:00,6.676000118255615,0.8944762078294982,7.645000457763672
2010-01-29 12:00:00,13.704999923706055,1.0575263320037545,7.645000457763672
2010-01-30 00:00:00,8.081000328063965,1.2205764561780108,9.164000511169434
2010-01-30 12:00:00,18.167999267578125,0.9948555413190268,9.164000511169434
2010-01-31 00:00:00,1.1790000200271606,0.7691346264600427,11.79900074005127
2010-01-31 12:00:00,9.366999626159668,0.7440071894545393,11.79900074005127
2010-02-01 00:00:00,2.1050000190734863,0.7188797524490359,23.290000915527344
2010-02-01 12:00:00,16.575000762939453,1.055651364108148,23.290000915527344
2010-02-02 00:00:00,0.18299999833106995,1.39242297576726,4.450000286102295
2010-02-02 12:00:00,31.356000900268555,1.1048498270746436,4.450000286102295
2010-02-03 00:00:00,11.100000381469727,0.8172766783820271,9.074000358581543
2010-02-03 12:00:00,20.7450008392334,0.8490746095215013,9.074000358581543
2010-02-04 00:00:00,5.563000202178955,0.8808725406609754,13.213000297546387
2010-02-04 12:00:00,7.495999813079834,0.7659581236454002,13.213000297546387
2010-02-05 00:00:00,7.479000091552734,0.6510437066298249,11.192000389099121
2010-02-05 12:00:00,17.40999984741211,0.7236458375642978,11.192000389099121
2010-02-06 00:00:00,8.666999816894531,0.7962479684987707,13.255001068115234
