,Lin,Sin,doy
2010-01-01 00:00:00,283.390422510242,0.0,1
2010-01-01 02:00:00,287.71354107166087,0.0,1
2010-01-01 04:00:00,292.03665963307975,0.0,1
2010-01-01 06:00:00,296.35977819449863,0.0,1
2010-01-01 08:00:00,300.68289675591757,8.89531972907889,1
2010-01-01 10:00:00,305.00601531733645,17.79063945815778,1
2010-01-01 12:00:00,309.32913387875533,26.685959187236673,1
2010-01-01 14:00:00,298.76847996282606,17.790639458157784,1
2010-01-01 16:00:00,288.2078260468968,8.895319729078892,1
2010-01-01 18:00:00,277.64717213096753,0.0,1
2010-01-01 20:00:00,267.08651821503827,0.0,1
2010-01-01 22:00:00,256.525864299109,0.0,1
2010-01-02 00:00:00,245.96521038317977,0.0,2
2010-01-02 02:00:00,248.07151177321728,0.0,2
2010-01-02 04:00:00,250.1778131632548,0.0,2
2010-01-02 06:00:00,252.28411455329228,0.0,2
2010-01-02 08:00:00,254.3904159433298,4.902756703517972,2
2010-01-02 10:00:00,256.4967173333673,9.805513407035944,2
2010-01-02 12:00:00,258.60301872340483,14.708270110553915,2
2010-01-02 14:00:00,255.41814153439066,9.805513407035942,2
2010-01-02 16:00:00,252.23326434537648,4.902756703517971,2
2010-01-02 18:00:00,249.0483871563623,0.0,2
2010-01-02 20:00:00,245.86350996734816,0.0,2
2010-01-02 22:00:00,242.678632778334,0.0,2
2010-01-03 00:00:00,239.49375558931982,0.0,3
2010-01-03 02:00:00,242.24522205008486,0.0,3
2010-01-03 04:00:00,244.9966885108499,0.0,3
2010-01-03 06:00:00,247.74815497161495,0.0,3
2010-01-03 08:00:00,250.49962143238002,7.029120982164517,3
2010-01-03 10:00:00,253.25108789314507,14.058241964329033,3
2010-01-03 12:00:00,256.0025543539101,21.08736294649355,3
2010-01-03 14:00:00,251.067767784156,14.058241964329032,3
2010-01-03 16:00:00,246.1329812144019,7.029120982164516,3
2010-01-03 18:00:00,241.1981946446478,0.0,3
2010-01-03 20:00:00,236.26340807489368,0.0,3
2010-01-03 22:00:00,231.32862150513955,0.0,3
2010-01-04 00:00:00,226.39383493538546,0.0,4
2010-01-04 02:00:00,239.80817425894625,0.0,4
2010-01-04 04:00:00,253.22251358250705,0.0,4
2010-01-04 06:00:00,266.6368529060679,0.0,4
2010-01-04 08:00:00,280.05119222962867,14.05228557283916,4
2010-01-04 10:00:00,293.46553155318946,28.10457114567832,4
2010-01-04 12:00:00,306.87987087675026,42.15685671851748,4
2010-01-04 14:00:00,296.4187029371997,28.10457114567832,4
2010-01-04 16:00:00,285.95753499764925,14.05228557283916,4
2010-01-04 18:00:00,275.4963670580987,0.0,4
2010-01-04 20:00:00,265.0351991185482,0.0,4
2010-01-04 22:00:00,254.5740311789977,0.0,4
2010-01-05 00:00:00,244.11286323944717,0.0,5
2010-01-05 02:00:00,252.54956163936785,0.0,5
2010-01-05 04:00:00,260.98626003928854,0.0,5
2010-01-05 06:00:00,269.4229584392092,0.0,5
2010-01-05 08:00:00,277.85965683912985,12.241953591078103,5
2010-01-05 10:00:00,286.29635523905057,24.483907182156205,5
2010-01-05 12:00:00,294.7330536389712,36.72586077323431,5
2010-01-05 14:00:00,286.66554399716244,24.48390718215621,5
2010-01-05 16:00:00,278.59803435535366,12.241953591078104,5
2010-01-05 18:00:00,270.53052471354493,0.0,5
2010-01-05 20:00:00,262.46301507173615,0.0,5
2010-01-05 22:00:00,254.39550542992737,0.0,5
2010-01-06 00:00:00,246.3279957881186,0.0,6
2010-01-06 02:00:00,259.3359172324157,0.0,6
2010-01-06 04:00:00,272.3438386767128,0.0,6
2010-01-06 06:00:00,285.3517601210099,0.0,6
2010-01-06 08:00:00,298.3596815653069,14.327124943808904,6
2010-01-06 10:00:00,311.367603009604,28.65424988761781,6
2010-01-06 12:00:00,324.3755244539011,42.98137483142671,6
2010-01-06 14:00:00,318.06111356785897,28.65424988761781,6
2010-01-06 16:00:00,311.7467026818169,14.327124943808904,6
2010-01-06 18:00:00,305.43229179577474,0.0,6
2010-01-06 20:00:00,299.1178809097326,0.0,6
2010-01-06 22:00:00,292.8034700236905,0.0,6
2010-01-07 00:00:00,286.4890591376484,0.0,7
2010-01-07 02:00:00,279.7981583001682,0.0,7
2010-01-07 04:00:00,273.10725746268804,0.0,7
2010-01-07 06:00:00,266.41635662520787,0.0,7
2010-01-07 08:00:00,259.7254557877277,0.0,7
2010-01-07 10:00:00,253.03455495024753,0.0,7
2010-01-07 12:00:00,246.34365411276735,0.0,7
2010-01-07 14:00:00,245.44595435048944,0.0,7
2010-01-07 16:00:00,244.5482545882115,0.0,7
2010-01-07 18:00:00,243.65055482593357,0.0,7
2010-01-07 20:00:00,242.75285506365566,0.0,7
2010-01-07 22:00:00,241.85515530137775,0.0,7
2010-01-08 00:00:00,240.9574555390998,0.0,8
2010-01-08 02:00:00,246.60070298946653,0.0,8
2010-01-08 04:00:00,252.2439504398332,0.0,8
2010-01-08 06:00:00,257.8871978901999,0.0,8
2010-01-08 08:00:00,263.53044534056664,10.127463276396783,8
2010-01-08 10:00:00,269.17369279093333,20.254926552793567,8
2010-01-08 12:00:00,274.8169402413,30.38238982919035,8
2010-01-08 14:00:00,272.8796283913516,20.254926552793563,8
2010-01-08 16:00:00,270.94231654140316,10.127463276396782,8
2010-01-08 18:00:00,269.00500469145476,0.0,8
2010-01-08 20:00:00,267.06769284150636,0.0,8
2010-01-08 22:00:00,265.1303809915579,0.0,8
2010-01-09 00:00:00,263.1930691416095,0.0,9
2010-01-09 02:00:00,267.1359955830485,0.0,9
