,ET,ETR,ETS,discharge,leakage,overlandFlow,ppt,storageGZ,storageVZ
1984-10-27,0.06901060082097102,0.04457312657298189,0.024437474247989144,0.008458480844719792,0.0,0.0,0.0,1.9112927139839682,10.54464399862061
1984-10-28,0.06292318267214769,0.040706133265858244,0.022217049406289456,0.008317304310335637,0.0,0.0,0.0,1.9028342331392483,10.47563339779964
1984-10-29,0.0523428993140616,0.033636764715090264,0.018706134598971344,0.01898604031083976,0.1108992067680502,0.0,1.5569999694824217,1.8945169288289128,10.412710215127493
1984-10-30,0.06125416615700761,0.04040424124261737,0.020849924914390236,0.028524033294513397,0.0,0.0,0.0,1.9864300952861231,11.806468078527798
1984-10-31,0.061928202138808515,0.040901044777624254,0.021027157361184264,0.018403672960721235,0.0,0.0,0.0,1.95790606199161,11.745213912370788
1984-11-01,0.06373856779078822,0.04215171439111416,0.021586853399674054,0.013359465300604497,0.0,0.0,0.0,1.939502389030889,11.68328571023198
1984-11-02,0.06583277841516255,0.04575906505815829,0.020073713357004263,0.06160137605479062,0.47865804922489436,0.0,4.593999862670898,1.9261429237302843,11.619547142441187
1984-11-03,0.07639876775784389,0.057385527410053025,0.01901324034779088,0.1501565265634401,0.49401441939796353,0.0,3.5319999694824213,2.343199596900388,15.669056177472031
1984-11-04,0.09191357413848077,0.07088578188416629,0.02102779225431446,0.1404125186550554,0.0,0.0,0.0,2.6870574897349107,18.630642959798642
1984-11-05,0.09056597306659055,0.06990627120619171,0.020659701860398838,0.0762367747867271,0.0,0.0,0.0,2.546644971079855,18.53872938566016
1984-11-06,0.08180497640054032,0.06317748418319812,0.018627492217342216,0.057245567341035995,0.11785086949470842,0.0,0.8069999694824218,2.4704081962931275,18.44816341259357
1984-11-07,0.07197951122885352,0.055987552114788494,0.01599195911406502,0.06220329049141731,0.10929157343710123,0.0,0.6859999656677245,2.5310134984467996,19.055507536180748
1984-11-08,0.062446494516091765,0.049123231104657356,0.013323263411434413,0.08425735602299923,0.29542007357597955,0.0,1.7329999923706052,2.5781017813924834,19.56023641718252
1984-11-09,0.0824419192702143,0.06580892996799079,0.016632989302223487,0.11634312155687809,0.27953469797535957,0.0,1.5329999923706055,2.7892644989454642,20.935369841461053
1984-11-10,0.07980727425758737,0.06485079368983303,0.014956480567754334,0.17563342131114656,0.6790111028385301,0.0,3.37599983215332,2.9524560753639455,22.106393216586085
1984-11-11,0.09071340313827844,0.07559058431651103,0.015122818821767432,0.31140473074826996,1.1877131380284573,0.0,5.11500015258789,3.4558337568913293,24.72357467164329
1984-11-12,0.08858586902637677,0.07594661343046973,0.012639255595907024,0.6888073002107405,4.977562261450178,0.0,9.384999847412109,4.3321421641715165,28.560148283064446
1984-11-13,0.11432320531333941,0.09877524939072525,0.015547955922614164,1.7232877762648597,4.960676794686676,0.0,5.074999999999999,8.620897125410954,32.879
1984-11-14,0.12116640556184377,0.104687774405433,0.016478631156410753,1.642634082134836,1.1048336173263469,0.0,1.2260000228881838,11.858286143832768,32.879
1984-11-15,0.10655103670321092,0.09204808461972781,0.014502952083483109,1.051233884903,0.01079277767322951,0.0,0.05100002288818356,11.32048567902428,32.879
1984-11-16,0.10520318126582023,0.09089111151832427,0.014312069747495933,0.6823861437433687,0.490453015801832,0.0,0.6619999885559081,10.280044571794509,32.81265620851173
1984-11-17,0.12291684022938362,0.10620014995818747,0.016716690271196172,0.5390311489145044,0.2360831750293975,0.0,0.35900001525878894,10.088111443852974,32.879
1984-11-18,0.10423254082868459,0.09005691527598347,0.014175625552701104,0.6544829801138722,2.158767375247969,0.0,2.26299991607666,9.785163469967866,32.879
1984-11-19,0.11865733855401829,0.10251994051067181,0.01613739804334649,0.7405534455677983,0.3133426309284158,0.0,0.43199996948242175,11.289447865101963,32.879
1984-11-20,0.11348917075722677,0.09805464353424395,0.015434527222982844,0.5824341573742907,0.41151082924276366,0.0,0.525,10.862237050462578,32.879
1984-11-21,0.10415605865788626,0.08999083468041372,0.014165223977472535,0.4931667673545729,0.2278439585082535,0.0,0.3320000171661377,10.691313722331053,32.879
1984-11-22,0.12086768163424125,0.10444788224780183,0.01641979938643942,0.3980163301068258,0.0,0.0,0.0,10.425990913484734,32.879
1984-11-23,0.11654607178485461,0.10075289851395579,0.01579317327089884,0.31832442295752794,0.0,0.0,0.0,10.027974583377908,32.75813231836576
1984-11-24,0.08970411730075223,0.07751189859929863,0.01219221870145359,0.7918424896704366,4.671882297126814,0.0,4.99900016784668,9.709650160420379,32.6415862465809
1984-11-25,0.09969563404597978,0.0861279788360518,0.013567655209927991,1.124507257655723,0.013733361774263087,0.0,0.059999990463256825,13.589689967876753,32.879
1984-11-26,0.0889719916940257,0.07685224895330678,0.012119742740718923,0.7314794124306923,0.02921391106271738,0.0,0.11100001335144039,12.47891607199529,32.82557099464302
1984-11-27,0.09971032209907063,0.08614678785010792,0.013563534248962696,0.6728582787173949,1.3106746915859027,0.0,1.4709999084472658,11.776650570627316,32.81838510523772
