,ET,ETR,ETS,discharge,leakage,overlandFlow,ppt,storageGZ,storageVZ
1981-01-01,0.008312251253908505,0.002919312677066131,0.005392938576842372,0.2338035635841032,0.0,0.0,0.0,2.0,2.0
1981-01-02,0.007334950521597084,0.002580025280049349,0.004754925241547736,0.11819792534564225,0.0,0.0,0.0,1.7661964364158966,1.9916877487460918
1981-01-03,0.007964025012646137,0.0025416271508653596,0.0054223978617807785,0.061086469450970605,0.0,0.0,0.3619999885559082,1.6479985110702544,1.9843527982244946
1981-01-04,0.011118400705015406,0.002688419973596842,0.008429980731418565,0.03284204587904399,0.0,0.0,0.7699999809265136,1.5869120416192837,2.3383887617677566
1981-01-05,0.012339902316844786,0.002499481249082905,0.009840421067761883,0.018859247705692646,0.0,0.0,0.0,1.5540699957402397,3.0972703419892555
1981-01-06,0.012435948063158484,0.002523278474259428,0.009912669588899057,0.011926325542349441,0.0,0.0,0.0,1.535210748034547,3.084930439672411
1981-01-07,0.012573247711017869,0.0025555929912824196,0.010017654719735451,0.008479389852786097,0.0,0.0,0.0,1.5232844224921975,3.0724944916092527
1981-01-08,0.010529174500171162,0.002143628481470085,0.008385546018701076,0.00675651978407759,0.0,0.0,0.0,1.5148050326394114,3.059921243898234
1981-01-09,0.013073082166094176,0.0026659047545488554,0.010407177411545317,0.005886475437797392,0.0,0.0,0.0,1.5080485128553338,3.0493920693980634
1981-01-10,0.014037314868986017,0.0028679962164143017,0.011169318652571715,0.005438398689808957,0.0,0.0,0.0,1.5021620374175366,3.036318987231969
1981-01-11,0.013619777970776905,0.0027881629234689396,0.010831615047307966,0.00519920342195331,0.0,0.0,0.0,1.4967236387277274,3.0222816723629826
1981-01-12,0.015528259654277884,0.003185411516219788,0.012342848138058094,0.0050635014097954265,0.0,0.0,0.0,1.4915244353057744,3.0086618943922057
1981-01-13,0.01424101217597179,0.002927615774971418,0.01131339640100037,0.004979167779238147,0.0,0.0,0.0,1.4864609338959789,2.9931336347379283
1981-01-14,0.013658589949391307,0.0028135375732709824,0.010845052376120325,0.004920420212839391,0.0,0.0,0.0,1.4814817661167408,2.978892622561957
1981-01-15,0.014782769270663739,0.0030513399491914808,0.011731429321472257,0.004874504817221356,0.0,0.0,0.0,1.4765613459039013,2.9652340326125657
1981-01-16,0.01891652747250345,0.0036848425440007947,0.015231684928502654,0.004835111307056066,0.0,0.0,0.355999994277954,1.47168684108668,2.950451263341902
1981-01-17,0.015651683027484452,0.0031704785492486552,0.012481204478235796,0.005523634964740236,0.009358849390364524,0.0,1.0159999847412111,1.4668517297796237,3.2875347301473536
1981-01-18,0.02029361571294665,0.0055912276835746325,0.014702388029372015,0.007110864995569474,0.004807089040429079,0.0,0.28600001335144043,1.4706869442052484,4.278524182470714
1981-01-19,0.027163264825312,0.008935920576938284,0.01822734424837372,0.008673570889862751,0.02034696628723547,0.0,0.9090000152587889,1.468383168250108,4.539423491068777
1981-01-20,0.030220155205123424,0.011555239369637205,0.018664915835486216,0.010262824880346565,0.009211204801585077,0.0,0.33800001144409175,1.480056563647481,5.40091327521502
1981-01-21,0.02103450865044522,0.008663223494855044,0.012371285155590174,0.010506355823646896,0.01718249166998838,0.0,0.5390000343322754,1.4790049435687194,5.699481926652403
1981-01-22,0.039263448451580696,0.021095541197131293,0.018167907254449413,0.034398067049925554,0.24950320241211474,0.0,4.6299999237060545,1.485681079415061,6.200264960664244
1981-01-23,0.0437256377539648,0.028640436878788287,0.015085200875176511,0.07936914622084738,0.24378736328541384,0.0,2.7709999084472656,1.7007862147772501,10.541498233506601
1981-01-24,0.04016007770930755,0.027627985394138105,0.012532092315169453,0.07470969734322652,0.021105054184974267,0.0,0.21799998283386218,1.8652044318418164,13.024985140914485
1981-01-25,0.04678579376919782,0.03228113665217295,0.014504657117024868,0.04283449165211172,0.0,0.0,0.0,1.811599788683564,13.181719991854067
1981-01-26,0.0552176016289356,0.03838560307511946,0.01683199855381614,0.03430934917908984,0.08707442953458762,0.0,0.8510000228881837,1.7687652970314522,13.134934198084867
