,ET,ETR,ETS,discharge,leakage,overlandFlow,ppt,storageGZ,storageVZ
1981-01-01,0.04496827687832647,0.0,0.0,0.09045397688999973,0.0,0.0,0.01200000047683715,1.0,10.0
1981-01-02,0.03884309809167025,0.0,0.0,0.07284798298009054,0.0,0.0,0.0,0.9095460231100002,9.967031723598511
1981-01-03,0.03771547042851718,0.0,0.0,0.06013655493812505,0.0,0.0,0.7399999618530274,0.8366980401299096,9.928188625506841
1981-01-04,0.04142598747268208,0.0,0.0,0.050626044511126185,0.0,0.0,1.2890000343322754,0.7765614851917845,10.630473116931352
1981-01-05,0.04629218902471946,0.0,0.0,0.04330450807231315,0.0,0.0,0.0,0.7259354406806582,11.878047163790944
1981-01-06,0.04460157374164657,0.0,0.0,0.03753485909291121,0.0,0.0,0.0,0.6826309326083451,11.831754974766225
1981-01-07,0.04442120826188349,0.0,0.0,0.03289861454577505,0.0,0.0,0.0,0.6450960735154339,11.787153401024579
1981-01-08,0.03835290509990001,0.0,0.0,0.029111038949255808,0.0,0.0,0.0,0.6121974589696587,11.742732192762697
1981-01-09,0.044758852112406475,0.0,0.0,0.02597256392420091,0.0,0.0,0.0,0.5830864200204029,11.704379287662796
1981-01-10,0.04828306814016025,0.0,0.0,0.02333971990315553,0.0,0.0,0.0,0.557113856096202,11.65962043555039
1981-01-11,0.0473215162064579,0.0,0.0,0.021107077867517744,0.0,0.0,0.0,0.5337741361930465,11.611337367410231
1981-01-12,0.05373946307456193,0.0,0.0,0.019195662500340424,0.0,0.0,0.0,0.5126670583255286,11.564015851203775
1981-01-13,0.05071437960263985,0.0,0.0,0.017545305542883548,0.0,0.0,0.0,0.493471395825188,11.510276388129215
1981-01-14,0.04816541899742955,0.0,0.0,0.016109473154240855,0.0,0.0,0.0,0.4759260902823045,11.459562008526575
1981-01-15,0.05125332801416842,0.0,0.0,0.014851689344374659,0.0,0.0,0.0,0.4598166171280636,11.411396589529145
1981-01-16,0.06305024561109207,0.0,0.0,0.013743014177750978,0.0,0.0,0.9869999885559083,0.4449649277836889,11.360143261514976
1981-01-17,0.04637634876601722,0.0,0.0,0.012760234190188185,0.0,0.0,1.3539999961853029,0.4312219136059379,12.284093004459791
1981-01-18,0.057192761987930545,0.0,0.0,0.01188454311720325,0.0,0.0,0.6940000057220459,0.4184616794157498,13.591716651879075
1981-01-19,0.07881733698174274,0.0,0.0,0.011100566135311324,0.0,0.0,1.4749999999999999,0.4065771362985465,14.228523895613192
1981-01-20,0.08205272543583676,0.0,0.0,0.010395628633568152,0.0,0.0,0.5440000057220459,0.3954765701632352,15.624706558631448
1981-01-21,0.058214994747745094,0.0,0.0,0.009759201605469218,0.0,0.0,1.140999984741211,0.3850809415296671,16.086653838917663
1981-01-22,0.09161881201893549,0.0,0.0,0.30992174552292573,3.4718201847388706,0.8472201791401428,5.57400016784668,0.37532173992419776,17.169438828911133
1981-01-23,0.0820379144096648,0.0,0.0,1.0856828931500926,3.4739622229194254,2.3882793297693325,3.556000137329101,2.69,19.18
1981-01-24,0.06734620912425464,0.0,0.0,0.8506534180314875,0.32865379469043887,0.0,0.3960000038146973,2.69,19.18
1981-01-25,0.07887049428630204,0.0,0.0,0.4910656866350402,0.0,0.0,0.0,2.168000376658951,19.18
1981-01-26,0.09422810122433392,0.0,0.0,0.5368350921662909,1.2429013892305782,0.0,1.4159999847412108,1.6769346900239108,19.101129505713697
1981-01-27,0.08650307562439186,0.0,0.0,1.0513121788430824,6.3444966802349825,4.986185488480098,6.430999755859375,2.3830009870881983,19.18
1981-01-28,0.09881553453199632,0.0,0.0,1.0856828931500926,5.822184373915263,4.73650148076517,5.920999908447265,2.69,19.18
1981-01-29,0.07362910527408134,0.0,0.0,1.0856828931500926,3.1113707421380354,2.0256878489879426,3.184999847412109,2.69,19.18
1981-01-30,0.0667880153588336,0.0,0.0,0.8865866241558263,0.4532119655676752,0.0,0.5199999809265137,2.69,19.18
1981-01-31,0.07158531814031137,0.0,0.0,0.5334238833007274,0.0,0.0,0.0,2.256625341411849,19.18
1981-02-01,0.08199679921785777,0.0,0.0,0.3023859251284785,0.0,0.0,0.0,1.723201458111122,19.108414681859692
1981-02-02,0.09413736380953847,0.0,0.0,0.1987141473909483,0.0,0.0,0.0,1.4208155329826433,19.026417882641834
1981-02-03,0.08937637865779291,0.0,0.0,0.14223316910075065,0.0,0.0,0.0,1.222101385591695,18.932280518832297
1981-02-04,0.09065944599373837,0.0,0.0,0.10767853859043945,0.0,0.0,0.0,1.0798682164909443,18.842904140174507
1981-02-05,0.09616996619719276,0.0,0.0,0.08482582851338757,0.0,0.0,0.05199999809265134,0.9721896779005048,18.752244694180774
1981-02-06,0.09128457060190381,0.0,0.0,0.06883887169617962,0.0,0.0,0.0,0.8873638493871171,18.70807472607623
1981-02-07,0.09339984937195993,0.0,0.0,0.05716902305790395,0.0,0.0,0.0,0.8185249776909375,18.616790155474327
1981-02-08,0.09475505698214137,0.0,0.0,0.04836145419326458,0.0,0.0,0.0,0.7613559546330336,18.523390306102364
1981-02-09,0.10265799628251253,0.0,0.0,0.041532879583404736,0.0,0.0,0.0,0.7129945004397691,18.428635249120223
1981-02-10,0.12375601431904838,0.0,0.0,0.036119991594372264,0.0,0.0,0.0,0.6714616208563643,18.325977252837713
1981-02-11,0.0932121354906536,0.0,0.0,0.031748817944510156,0.0,0.0,0.1990000009536743,0.6353416292619921,18.202221238518664
1981-02-12,0.08772430318838605,0.0,0.0,0.028162630848665327,0.0,0.0,0.45500001907348636,0.603592811317482,18.308009103981686
1981-02-13,0.11910392672618002,0.0,0.0,0.07277818072732553,0.9591808855112056,0.0,1.5829999923706053,0.5754301804688167,18.675284819866782
1981-02-14,0.09827781626843125,0.0,0.0,0.9404231982168472,7.110721817520641,4.942131504556491,7.2089996337890625,1.4618328852526967,19.18
1981-02-15,0.11907756084455404,0.0,0.0,0.7611427426236286,0.0,0.0,0.004999995231628418,2.69,19.18
1981-02-16,0.11738034874479758,0.0,0.0,0.3845055210331948,0.0,0.0,0.10399999618530274,1.9288572573763716,19.065922434387076
1981-02-17,0.11071856733651048,0.0,0.0,0.42390330768551376,1.0698235068616704,0.0,1.3079999923706056,1.544351736343177,19.052542081827582
1981-02-18,0.11338167877923208,0.0,0.0,0.5015683839486389,0.0,0.0,0.0,2.1902719355193336,19.18
1981-02-19,0.1692579354421545,0.0,0.0,0.2982747036737854,0.11436036479777911,0.0,0.396999979019165,1.6887035515706945,19.066618321220766
1981-02-20,0.12800225784643393,0.0,0.0,0.27288497765559333,0.29799776504174247,0.0,0.42600002288818356,1.5047892126946885,19.18
1981-02-21,0.13238664074654286,0.0,0.0,0.2336966318258391,0.0,0.0,0.0,1.5299020000808377,19.18
1981-02-22,0.21647920565470843,0.0,0.0,0.1621880949369163,0.0,0.0,0.0,1.2962053682549988,19.047613359253454
1981-02-23,0.18369969081875837,0.0,0.0,0.12024973491166387,0.0,0.0,0.0,1.1340172733180824,18.831134153598747
1981-02-24,0.13679775565201108,0.0,0.0,0.4679751858720318,2.426636615575248,0.282428968109635,3.0959999084472654,1.0137675384064184,18.64743446277999
1981-02-25,0.08465693821768777,0.0,0.0,1.0375081476430665,0.9403430617823005,0.0,1.0250000000000001,2.69,19.18
1981-02-26,0.08263533891898622,0.0,0.0,1.0741684833648886,3.9173646610810238,2.7460310918553694,3.9999999999999996,2.5928349141392344,19.18
1981-02-27,0.09688884204190168,0.0,0.0,1.0856828931500926,1.1231111388846102,0.03742824573451742,1.2199999809265136,2.69,19.18
1981-02-28,0.12810636166912542,0.0,0.0,0.7611427426236286,0.0,0.0,0.0,2.69,19.18
1981-03-01,0.11412102587066028,0.0,0.0,0.3845055210331948,0.0,0.0,0.0,1.9288572573763716,19.05189363833087
1981-03-02,0.16286808536788205,0.0,0.0,0.23853772697182954,0.0,0.0,0.0,1.544351736343177,18.937772612460208
1981-03-03,0.15263006059754594,0.0,0.0,0.16487258830796486,0.0,0.0,0.0,1.3058140093713473,18.774904527092325
1981-03-04,0.16132606831669116,0.0,0.0,0.3341477704833203,1.6559483981780794,0.0,2.375,1.1409414210633826,18.62227446649478
1981-03-05,0.13270049008650864,0.0,0.0,0.6376050931320905,0.0,0.0,0.0,2.462742048758142,19.18
1981-03-06,0.1635419949340945,0.0,0.0,0.3419535881879178,0.0,0.0,0.0,1.8251369556260513,19.04729950991349
1981-03-07,0.16613244849749162,0.0,0.0,0.2183749158727149,0.0,0.0,0.3360000133514405,1.4831833674381336,18.8837575149794
1981-03-08,0.12738130132324507,0.0,0.0,0.15357135950456888,0.0,0.0,0.0,1.264808451565419,19.053625079833353
1981-03-09,0.19317830521895274,0.0,0.0,0.11487334377827986,0.0,0.0,0.0,1.1112370920608499,18.92624377851011
1981-03-10,0.19865770318916484,0.0,0.0,0.08970723188725435,0.0,0.0,0.0,0.9963637482825702,18.733065473291155
1981-03-11,0.17391393493643706,0.0,0.0,0.07231886891510052,0.0,0.0,0.0,0.906656516395316,18.534407770101993
1981-03-12,0.23552168438300514,0.0,0.0,0.05974653544599692,0.0,0.0,0.0,0.8343376474802154,18.360493835165553
1981-03-13,0.14571195784887558,0.0,0.0,0.0503294107001856,0.0,0.0,0.0,0.7745911120342185,18.12497215078255
1981-03-14,0.13575072148573308,0.0,0.0,0.04307308806554583,0.0,0.0,0.0,0.724261701334033,17.979260192933673
1981-03-15,0.16259004752073142,0.0,0.0,0.03735046980454623,0.0,0.0,0.9890000343322755,0.6811886132684872,17.843509471447934
1981-03-16,0.11403844288271829,0.0,0.0,0.08754706203246508,0.984881030635556,0.0,1.6090000152587893,0.643838143463941,18.66991945825948
1981-03-17,0.18670932251816139,0.0,0.0,0.237468330677171,0.0,0.0,0.0,1.5411721120670319,19.18
1981-03-18,0.21069225067511566,0.0,0.0,0.16428112401710446,0.0,0.0,0.0,1.303703781389861,18.993290677481834
1981-03-19,0.1316805456216284,0.0,0.0,0.12273919654656576,0.09891790216592611,0.0,0.628000020980835,1.1394226573727564,18.78259842680672
1981-03-20,0.16898755426930978,0.0,0.0,0.2631344667479558,1.0150124609894817,0.0,1.184000015258789,1.1156013629921167,19.18
1981-03-21,0.12395576085220848,0.0,0.0,0.8456375490276505,2.012044300182936,0.3438861083889284,2.136000061035156,1.8674793572336428,19.18
1981-03-22,0.15683914414592204,0.0,0.0,1.0794644453510647,1.0671608329658966,0.0,1.2239999771118164,2.69,19.18
1981-03-23,0.2041507512532429,0.0,0.0,0.7542327175081484,0.0,0.0,0.015999996662139887,2.6776963876148328,19.18
1981-03-24,0.1711743858925548,0.0,0.0,0.382236822278232,0.0,0.0,0.0,1.9234636701066847,18.991849245408897
1981-03-25,0.1861705868845564,0.0,0.0,0.6411814248173756,2.092504188708446,0.302549611719523,2.63799991607666,1.5412268478284528,18.82067485951634
1981-03-26,0.169748002703658,0.0,0.0,1.0856828931500926,2.9722518141908836,1.8865689210407908,3.141999816894532,2.69,19.18
1981-03-27,0.13982788207962457,0.0,0.0,0.7932442070711667,0.12117210742997031,0.0,0.2609999895095825,2.69,19.18
1981-03-28,0.21464919473589536,0.0,0.0,0.42284278045043555,0.0,0.0,0.0,2.0179279003588033,19.18
1981-03-29,0.24736981649720263,0.0,0.0,0.25591429806875965,0.0,0.0,0.2630000114440918,1.5950851199083678,18.9653508052641
1981-03-30,0.18246944101342205,0.0,0.0,0.17436388618093634,0.0,0.0,0.33400001525878903,1.3391708218396081,18.98098100021099
1981-03-31,0.20484553277392084,0.0,0.0,0.12771858151547277,0.0,0.0,0.0,1.1648069356586717,19.132511574456355
1981-04-01,0.19822876749517745,0.0,0.0,0.1572769393989108,0.6814372436696807,0.0,1.1319999694824219,1.037088354143199,18.927666041682432
1981-04-02,0.2008645291787512,0.0,0.0,0.24705871010570368,0.01813547654330705,0.0,0.21900000572204587,1.561248658413969,19.18
1981-04-03,0.2259582409263882,0.0,0.0,0.17239437158260015,0.0,0.0,0.0,1.3323254248515723,19.18
1981-04-04,0.23258850591914404,0.0,0.0,0.12652034560697142,0.0,0.0,0.0,1.1599310532689724,18.95404175907361
1981-04-05,0.32343680565389166,0.0,0.0,0.09746801182345585,0.0,0.0,0.0,1.033410707662001,18.721453253154472
1981-04-06,0.28750748415356925,0.0,0.0,0.07777704372329655,0.0,0.0,0.0,0.935942695838545,18.398016447500577
1981-04-07,0.2313667576146307,0.0,0.0,0.06374665021837739,0.0,0.0,0.0,0.8581656521152484,18.11050896334701
