,ppt,tmean,tdmean,tmin,tmax,pet
1985-01-01,0.0,4.531000137329102,-2.890000104904175,-0.9309999942779541,9.994999885559082,0.09703799508944286
1985-01-02,0.0,5.312000274658203,-3.200000047683716,-0.593999981880188,11.218000411987305,0.1048414579602247
1985-01-03,0.0,4.302000045776367,-2.819999933242798,-0.8029999732971191,9.407999992370605,0.09361832011904489
1985-01-04,0.0,5.060000419616699,-2.2699999809265137,-0.7110000252723694,10.831000328063965,0.10341934109047793
1985-01-05,0.0,5.725000381469727,-1.7799999713897705,0.0820000022649765,11.369000434875488,0.10575966807528134
1985-01-06,0.0,5.975000381469727,0.20000000298023224,0.9990000128746033,10.951000213623047,0.10088278509338364
1985-01-07,0.18899998664855955,7.079000473022461,1.0800000429153442,2.246999979019165,11.911999702453613,0.10460126194998724
1985-01-08,0.15799999237060547,6.586000442504883,1.4299999475479126,2.50600004196167,10.666000366210938,0.09474787455946129
1985-01-09,0.10599999427795403,6.0410003662109375,0.5199999809265137,2.5989999771118164,9.484000205993652,0.08559676693969964
1985-01-10,0.061000013351440396,5.993000507354736,1.0299999713897705,1.565999984741211,10.420999526977539,0.0974843951572034
1985-01-11,0.0,5.924000263214111,-0.3700000047683716,1.5779999494552612,10.270999908447266,0.09693617116087612
1985-01-12,0.0,6.158000469207764,-1.3300000429153442,1.6690000295639038,10.647000312805176,0.10015735068962284
1985-01-13,0.0,4.877000331878662,-3.4600000381469727,-0.2680000066757202,10.02299976348877,0.10220945295449686
1985-01-14,0.0,3.7290000915527344,-2.200000047683716,-0.7269999980926514,8.185999870300293,0.09095959525309404
1985-01-15,0.0,4.862000465393066,-1.6299999952316284,0.5559999942779541,9.168999671936035,0.09482501123330207
1985-01-16,0.0,6.679000377655029,-1.1399999856948853,1.8769999742507935,11.482000350952148,0.1089983881116581
1985-01-17,0.0,9.113000869750977,-1.190000057220459,2.7660000324249268,15.461000442504883,0.13886051066474353
1985-01-18,0.0,7.897000312805176,-1.7899999618530273,1.8669999837875366,13.928000450134277,0.13028247257525596
1985-01-19,0.0,6.996000289916992,-2.380000114440918,2.0460000038146973,11.946000099182129,0.11484405357135621
1985-01-20,0.0,6.9110002517700195,-1.8200000524520874,2.2200000286102295,11.602999687194824,0.11236997636961814
1985-01-21,0.0,7.479000568389893,-0.07000000029802322,3.0850000381469727,11.873000144958496,0.11221553537370588
1985-01-22,0.0,6.103000164031982,-1.4500000476837158,1.9119999408721924,10.295999526977539,0.10455885190917705
1985-01-23,0.0,4.788000106811523,-2.559999942779541,0.41600000858306885,9.161999702453613,0.10182921390167235
1985-01-24,0.0,5.400000095367432,-3.2799999713897705,0.625,10.175999641418457,0.11030074424681965
1985-01-25,0.0,6.760000228881836,-1.9900000095367432,2.996999979019165,10.524999618530273,0.10463477756175618
1985-01-26,0.0,6.044000148773193,-1.7200000286102295,1.9019999504089355,10.187000274658203,0.10758146956223162
1985-01-27,0.0,6.51200008392334,-1.0099999904632568,1.0099999904632568,12.015000343322754,0.1276412419794664
1985-01-28,0.021000003814697243,6.675000190734863,-1.0399999618530273,1.7389999628067017,11.61299991607666,0.12290328098344376
1985-01-29,0.0,4.616000175476074,-1.8899999856948853,-0.8140000104904175,10.04699993133545,0.11922259191673885
1985-01-30,0.0,5.072000026702881,-3.6600000858306885,-1.1169999837875366,11.26200008392334,0.13116951853699615
1985-01-31,0.0,4.823000431060791,-7.369999885559082,-1.1169999837875366,10.763999938964844,0.12838937433315312
1985-02-01,0.0,4.296000003814697,-1.7300000190734863,-1.9550000429153442,10.548999786376953,0.1299569851316608
1985-02-02,0.0,2.873000144958496,-1.149999976158142,-1.8329999446868896,7.580999851226807,0.10658614543149307
1985-02-03,0.0,4.236000061035156,-1.1299999952316284,-0.6980000138282776,9.170000076293945,0.1175283437142584
1985-02-04,0.0,3.3350002765655518,-1.149999976158142,-2.5820000171661377,9.253000259399414,0.1247384025192381
1985-02-05,0.0,3.5320000648498535,-4.269999980926514,-2.8610000610351562,9.925999641418457,0.1322447854781324
1985-02-06,0.0,5.193000316619873,-1.3600000143051147,-0.4819999933242798,10.868000030517578,0.1357164502678384
1985-02-07,2.4549999237060547,6.117000102996826,2.369999885559082,2.871999979019165,9.362000465393066,0.10788690290368745
1985-02-08,14.083000183105469,6.009000301361084,5.150000095367432,2.3429999351501465,9.677000045776367,0.11539144970524973
1985-02-09,2.2879999160766604,4.4079999923706055,0.6299999952316284,-0.03799999877810478,8.855999946594238,0.11980120656025166
1985-02-10,0.18899998664855955,4.353000164031982,-0.9800000190734863,-0.04800000041723251,8.755000114440918,0.12017339270782876
1985-02-11,0.0,4.698000431060791,-1.6299999952316284,0.14100000262260437,9.255000114440918,0.12552478023020866
1985-02-12,0.37600002288818357,7.061000347137451,2.359999895095825,4.001999855041504,10.121999740600586,0.11489647728371528
1985-02-13,0.05399999618530271,9.918000221252441,5.489999771118164,4.953000068664551,14.883000373840332,0.16494475059279579
1985-02-14,0.0,8.719000816345215,3.4600000381469727,2.8359999656677246,14.60200023651123,0.1736476137905556
1985-02-15,0.0,9.006999969482422,3.8499999046325684,3.4019999504089355,14.61299991607666,0.1732072825892054
1985-02-16,0.0,9.26200008392334,4.369999885559082,3.9600000381469727,14.564000129699707,0.17190556012064415
1985-02-17,0.0,9.32800006866455,2.700000047683716,3.36299991607666,15.293999671936035,0.18477761804745887
1985-02-18,0.0,8.855999946594238,2.059999942779541,0.9980000257492065,16.71500015258789,0.21065283859664535
