,ppt,tmean,tdmean,tmin,tmax,pet
1985-01-01,0.0,3.7090001106262207,-7.610000133514404,-2.0209999084472656,9.4399995803833,0.09487340346417455
1985-01-02,0.0,4.64900016784668,-9.479999542236328,-2.744999885559082,12.043000221252441,0.11293057057003772
1985-01-03,0.0,4.183000087738037,-8.789999961853027,-1.9700000286102295,10.336000442504883,0.10131734833436676
1985-01-04,0.0,4.446000099182129,-6.559999942779541,-2.1519999504089355,11.045999526977539,0.10667255040729377
1985-01-05,0.0,5.315000057220459,-6.409999847412109,0.9959999918937683,9.635000228881836,0.0901172873627249
1985-01-06,0.024000000953674314,5.586000442504883,-5.380000114440918,2.2290000915527344,8.944999694824219,0.08080805526716967
1985-01-07,0.4610000133514405,5.38200044631958,-2.7300000190734863,0.859000027179718,9.906000137329102,0.09348246023456021
1985-01-08,0.6329999923706054,4.586000442504883,-0.8999999761581421,1.6330000162124634,7.539999961853027,0.07336527414553476
1985-01-09,0.38099999427795406,4.9810004234313965,-0.7900000214576721,1.7209999561309814,8.241999626159668,0.07891897756803033
1985-01-10,0.3150000095367431,4.173000335693359,-2.0899999141693115,0.15399999916553497,8.192999839782715,0.08505063578097208
1985-01-11,0.0,4.672000408172607,-4.420000076293945,-0.009999999776482582,9.354000091552734,0.09449460015655599
1985-01-12,0.0,5.0370001792907715,-7.300000190734863,0.2409999966621399,9.833000183105469,0.09785529807603202
1985-01-13,0.0,4.486999988555908,-10.239999771118164,-1.3960000276565552,10.371000289916992,0.10652145758333746
1985-01-14,0.0,3.8980002403259277,-8.670000076293945,-2.7160000801086426,10.51200008392334,0.1107602634467908
1985-01-15,0.0,4.7860002517700195,-3.930000066757202,-1.524999976158142,11.097000122070312,0.11347094486936835
1985-01-16,0.0,7.37000036239624,-6.389999866485596,1.2300000190734863,13.510000228881836,0.12569674759768945
1985-01-17,0.0,9.679000854492188,-7.360000133514404,1.4529999494552612,17.906999588012695,0.1601148948378727
1985-01-18,0.0,6.789000511169434,-5.28000020980835,0.08100000023841858,13.49899959564209,0.13044366497569873
1985-01-19,0.0,6.462000370025635,-5.179999828338623,0.6759999990463257,12.25,0.12054138308491547
1985-01-20,0.0,7.539000511169434,-5.579999923706055,0.9789999723434448,14.100000381469727,0.1351927641318627
1985-01-21,0.0,7.080000400543213,-0.8100000023841858,0.421999990940094,13.73900032043457,0.1349045024172295
1985-01-22,0.0,6.150000095367432,-6.0,-0.20000000298023224,12.501999855041504,0.12796261335594677
1985-01-23,0.0,4.147000312805176,-8.109999656677246,-2.4159998893737793,10.710000038146973,0.12028860507814836
1985-01-24,0.0,4.220000267028809,-8.430000305175781,-1.9730000495910645,10.414999961853027,0.11833470990274567
1985-01-25,0.0,4.862000465393066,-6.300000190734863,0.019999999552965164,9.704999923706055,0.10869749354374003
1985-01-26,0.0,4.0329999923706055,-6.389999866485596,0.125,7.942999839782715,0.09498886765968723
1985-01-27,0.0,3.183000087738037,-5.320000171661377,-2.4570000171661377,8.824999809265137,0.11073157313091771
1985-01-28,0.3019999980926513,4.63700008392334,-4.690000057220459,-0.7310000061988831,10.005000114440918,0.11664128578667185
1985-01-29,0.01200000047683715,3.681000232696533,-4.909999847412109,-0.9330000281333923,8.295999526977539,0.1045697796320137
1985-01-30,0.0,3.703000068664551,-5.900000095367432,-2.671999931335449,10.079000473022461,0.12428053419805496
1985-01-31,0.0,4.210000038146973,-11.380000114440918,-1.3259999752044678,9.746999740600586,0.11975352764581812
1985-02-01,0.0,2.5330002307891846,-5.510000228881836,-3.6089999675750732,8.675000190734863,0.11772091670389162
1985-02-02,0.1869999885559082,-0.24800001084804535,-6.349999904632568,-5.215000152587891,4.718999862670898,0.09233308237866103
1985-02-03,0.07799999713897704,1.5890001058578491,-4.820000171661377,-3.2039999961853027,6.383999824523926,0.1012537358719097
1985-02-04,0.0,0.5420000553131104,-5.25,-4.894999980926514,5.980000019073486,0.10308831862674712
1985-02-05,0.0,1.2020000219345093,-10.109999656677246,-4.534999847412109,6.940000057220459,0.11086915954702972
1985-02-06,0.0,2.4600000381469727,-4.71999979019165,-3.180000066757202,8.10099983215332,0.11845755577027013
1985-02-07,2.884000015258789,3.0370001792907715,-2.3499999046325684,-1.628000020980835,7.703999996185303,0.11199820164444305
1985-02-08,13.747999572753907,3.205000162124634,0.949999988079071,1.1150000095367432,5.296000003814697,0.07638566531652942
1985-02-09,2.8510000228881833,1.034000039100647,-3.2799999713897705,-4.01200008392334,6.081999778747559,0.10757286346781494
1985-02-10,0.4199999809265137,1.1970000267028809,-4.409999847412109,-3.9010000228881836,6.295000076293945,0.11023612183156777
1985-02-11,0.07699999809265137,2.2860000133514404,-5.579999923706055,-3.2219998836517334,7.794000148773193,0.12247239947699493
1985-02-12,0.6239999771118164,4.216000080108643,-1.100000023841858,1.5750000476837158,6.857999801635742,0.09397904636307422
1985-02-13,0.3199999809265137,7.6610002517700195,2.200000047683716,2.566999912261963,12.755999565124512,0.15258828493295545
1985-02-14,0.0,8.45300006866455,-0.6899999976158142,1.2209999561309814,15.685999870300293,0.1895183879331052
1985-02-15,0.0,8.848000526428223,0.05000000074505806,2.2200000286102295,15.477999687194824,0.18618865600161685
1985-02-16,0.0,9.904000282287598,0.3199999928474426,2.8919999599456787,16.917999267578125,0.20127791840272824
1985-02-17,0.0,9.569000244140625,-1.309999942779541,2.7890000343322754,16.350000381469727,0.19766379990272748
1985-02-18,0.0,9.125,-1.6699999570846558,1.4210000038146973,16.829999923706055,0.20955453854934186
1985-02-19,0.0,7.320000171661377,-1.5199999809265137,0.40299999713897705,14.23799991607666,0.1872790260297698
1985-02-20,0.0,5.560000419616699,-0.3799999952316284,-1.5429999828338623,12.664999961853027,0.1784172791825112
1985-02-21,0.0,6.315000534057617,-4.840000152587891,-0.5019999742507935,13.133999824523926,0.18240462751475262
1985-02-22,0.0,8.605999946594238,0.5099999904632568,0.052000001072883606,17.160999298095703,0.2261597554817199
1985-02-23,0.0,11.907000541687012,-0.20000000298023224,5.428999900817871,18.38599967956543,0.2238167876889155
1985-02-24,0.0,10.721000671386719,-0.009999999776482582,3.259000062942505,18.184999465942383,0.2331220562254715
